1v 2r 2v 3r, Ave Regina Caelorum, Walter Frye
3v 4r, N'aray je jamais mieulx que j'ay, Robert Morton
4v 5r, Tant est mignonne ma pensee, anon
5v 6r, Le souvenir de vous me tue, Robert Morton  
6v 7r, Les treves d'amours et de moi, anon
7v 8r 8v 9r, La despourveue et la bannye, Johannes Ockeghem
9v 10r 10v 11r, Le despourveu infortune, Firminus Caron
11v 12r 12v 13r, L'omme banny de sa plaisance, Barbingant / Johannes Fede
13v 14r, Les desleaulx ont la saison, Johannes Ockeghem
14v 15r, D'un autre amer mon cueur s'abesseroit, Johannes Ockeghem / Antoine Busnoys
15v 16r, Je ne vis oncques la pareille, Gilles  Binchois / Guillaume Du Fay
16v 17r, J'ay pris amours a ma devise, anon
17v 18r, Helas mon coeur, anon
18v 19r, Aime qui vouldra, anon
19v 20r, Puis qu'a vous servir me suis mis, anon
20v 21r, De tous bien plaine, Hayne van Ghizeghem
21v 22r, S'il advient que mon dueil me tue, Michelet
22v 23r, Oublie oublie, anon
23v 24r 24v 25r, Cent mille escus quant je vouldroye, Firminus Caron / Antoine Busnoys
25v 26r 26v 27r, Comme femme desconfortee, Gilles  Binchois
27v 28r 28v 29r, Je ne fay plus je ne dis ne escrips, Antoine Busnoys / Gilles Mureau / Loyset Compère
29v 30r 30v 31r, Se mieulx ne vient d'amours peu me contente, P. Convert
31v 32r, Au travail suis que peu de gens croiroient, Barbingant / Johannes Ockeghem
32v 33r 33v 34r, Nul ne me doit de ce blasmer, anon
34v 35r 35v 36r 36v 37r, Ma maistresse et ma plus que autre amye, Johannes Ockeghem
37v 38r 38v 39r, Ma bouche rit et ma pensee pleure, Johannes Ockeghem
39v 40r 40v 41r, Tout a par moy affin qu'on ne me voye, Gilles  Binchois / Walter Frye
41v 42r 42v 43r, Esperant que mon bien vendra, Barbingant
43v 44r 44v 45r, Le corps s'en va et le cueur vous demeure, Antoine Busnoys
45v 46r 46v 47r, Tousdis vous voit, anon
47v 48r 48v 49r 49v 50r, Donnez laumosne, anon
50v 51r, Par malle bouche, anon
51v 52r, Escu dennuy, anon
52v 53r 53v 54r, Si vous voulez, anon
54v 55r 55v 56r, Fors seulement l'attente, Johannes Ockeghem
56v 57r, La plus dolente qui soit nee, anon
57v 58r 58v 59r, Ce que ma bouche n'ose dire, anon
59v 60r 60v 61r, Ha cueur perdu et desole, anon
61v 62r 62v 63r, Helas que pourra devenir, Firminus Caron
63v 64r 64v 65r, Ou beau chastel, anon
65v 66r 66v 67r, Quant j'ay au cueur aucun contraire, Antoine Busnoys
67v 69r 69v 70r, Est il mercy de quoy l'on peust finer, Antoine Busnoys
70v 71r 71v 72r, Quant ce viendra au droit destraindre, Antoine Busnoys / Johannes Ockeghem
72v 73r, En atendant vostre venue, anon
73v 74r, Helas l'avois je deservye, anon
74v 75r 75v 76r, Ravy d'amours despourveu de bon sens, anon
76v 77r 77v 78r, Quant je fus prins au pavillon, anon
78v 79r, Vraiz amans, anon
79v 80r, Jay des semblans, anon
80v -81r-, Henri phlippet, anon
